CIP_SHORT|CIP_CODE|CIPTitle|Description|CrossReferences|PERKINS|PERKINS_PROGRAM|Groups
51|512312|Assistive/Augmentative Technology and Rehabilitation Engineering.|A program that prepares individuals to apply the principles of psychology, engineering, and occupational therapy to the design and implementation of technological interventions and systems to promote patient rehabilitation and function.  Includes instruct|NULL|NULL|NULL|STEM
51|512313|Animal-Assisted Therapy.|A program that prepares health and human service professionals to integrate the use of animals into their treatment practices in order to facilitate change in people with mental and physical disabilities. Includes instruction in psychology, psychology of |NULL|NULL|NULL|STEM
51|512314|Rehabilitation Science.|A program that focuses on human function, disability, and rehabilitation from the perspectives of the health sciences, social sciences, psychology, engineering, and related fields. Includes instruction in psychological, social, and cultural aspects of dis|NULL|NULL|NULL|STEM
51|512399|Rehabilitation and Therapeutic Professions, Other.|Any instructional program in rehabilitation and therapeutic professions not listed above.|NULL|NULL|NULL|STEM
51|5124|Veterinary Medicine.|Instructional content is defined in code 51.2401.|NULL|NULL|NULL|STEM
51|512401|Veterinary Medicine.|A program that prepares individuals for the independent professional practice of veterinary medicine, involving the diagnosis, treatment, and health care management of animals and animal populations and the prevention and management of zoonosis.  Includes|NULL|NULL|NULL|STEM
51|5125|Veterinary Biomedical and Clinical Sciences.|Instructional content for this group of programs is defined in codes 51.2501 - 51.2599.|NULL|NULL|NULL|STEM
51|512501|Veterinary Sciences/Veterinary Clinical Sciences, General.|An integrated program of study in one or more of the veterinary medical or clinical sciences or a program undifferentiated as to title.|NULL|NULL|NULL|STEM
51|512502|Veterinary Anatomy.|A program that focuses on the scientific study of the structure of small and large animal cellular, organ, tissue, and body systems and their relation to physiologic function, disease, and therapeutic treatment.  Includes instruction in histology, ultrast|NULL|NULL|NULL|STEM
51|512503|Veterinary Physiology.|A program that focuses on  the scientific study of the functional dynamics of animal biological systems and their relationship to the diagnosis and treatment of disease and injury.  Includes instruction in mammalian and non-mammalian physiology, laborator|NULL|NULL|NULL|STEM
51|512504|Veterinary Microbiology and Immunobiology.|A program that focuses on the scientific study of the microbial causation and immunologic processes related to animal disease, prevention, and treatment.  Includes instruction in bacteriology, mycology, virology, immune response mechanisms, humoral and ce|NULL|NULL|NULL|STEM
51|512505|Veterinary Pathology and Pathobiology.|A program that focuses on the scientific study of the development and process of disease in domestic and wild animals and applications to diagnosis, prevention, and treatment.  Includes instruction in pathogenesis, immunoparasitology, viral therapy, inher|NULL|NULL|NULL|STEM
51|512506|Veterinary Toxicology and Pharmacology.|A program that focuses on the scientific study of specific environmental and food hazards affecting domestic and wild animals and the development and action of chemical antidotes and treatments.  Includes instruction in small and large animal toxicology a|NULL|NULL|NULL|STEM
51|512507|Large Animal/Food Animal and Equine Surgery and Medicine.|A program that focuses on the scientific study of the internal medicine and invasive and noninvasive treatment of herd, work, sport, and food animals.  Includes instruction in equine medicine, swine and dairy medicine, food animal medicine, pathophysiolog|NULL|NULL|NULL|STEM
51|512508|Small/Companion Animal Surgery and Medicine.|A program that focuses on the scientific study of the internal medicine and invasive and noninvasive treatment of companion and household animals.  Includes instruction in avian medicine, pet care, companion animal medicine, pathophysiology, small animal |NULL|NULL|NULL|STEM
51|512509|Comparative and Laboratory Animal Medicine.|A program that focuses on the scientific study of animal models of human disease and related experimental procedures, and prepares veterinarians and animal health specialists to manage the laboratory use and care of experimental animals.  Includes instruc|NULL|NULL|NULL|STEM
51|512510|Veterinary Preventive Medicine, Epidemiology, and Public Health.|A program that focuses on the study of the prevention and control of communicable animal diseases, diseases affecting humans, and prepares veterinarians to function as public health specialists.  Includes instruction in animal epidemiology, biostatistics,|NULL|NULL|NULL|STEM
51|512511|Veterinary Infectious Diseases.|A program that focuses on the scientific study of zoonotic infectious diseases, disease mechanisms, and prevention and treatment strategies.  Includes instruction in disease pathogenesis, vector biology, mycobacterial infection, blood parasites, retroviru|NULL|NULL|NULL|STEM
51|512599|Veterinary Biomedical and Clinical Sciences, Other.|Any instructional program in veterinary biomedical and clinical sciences not listed above.|NULL|NULL|NULL|STEM
51|5126|Health Aides/Attendants/Orderlies.|Instructional content for this group of programs is defined in codes 51.2601 - 51.2699.|NULL|NULL|NULL|STEM
51|512601|Health Aide.|A program that prepares individuals to provide routine care and assistance to patients under the direct supervision of other health care professionals, and/or to perform routine maintenance and general assistance in health care facilities and laboratories|NULL|NULL|NULL|STEM
51|512602|Home Health Aide/Home Attendant.|A program that prepares individuals to provide routine care and support services for homebound disabled, recovering, or elderly people.  Includes instruction in basic nutrition, home sanitation, infection control, first aid, taking vital signs, personal h|NULL|NULL|NULL|STEM
51|512603|Medication Aide.|A program that prepares individuals to administer prescribed medications; observe and report patient reactions and side effects; and perform related emergency and recording duties under the supervision of nurses and/or physicians.  Includes instruction in|NULL|NULL|NULL|STEM
51|512604|Rehabilitation Aide.|A program that prepares individuals to assist in rehabilitation services under the supervision of physical therapists, occupational therapists, speech-language pathologists, and other therapeutic professionals, and to perform routine functions in support |NULL|NULL|NULL|STEM
51|512699|Health Aides/Attendants/Orderlies, Other.|Any other instructional program that prepares individuals to provide routine patient care and assistance.|NULL|NULL|NULL|STEM
51|5127|Medical Illustration and Informatics.|Instructional content for this group of programs is defined in codes 51.2703 - 51.2799.|NULL|NULL|NULL|STEM
51|512703|Medical Illustration/Medical Illustrator.|A program that prepares individuals to apply the principles and techniques of art and computer-assisted imaging, graphics, and animation to create visual materials to facilitate the recording and dissemination of biomedical knowledge for educational, rese|NULL|NULL|NULL|STEM
51|512706|Medical Informatics.|A program that focuses on the application of computer science and software engineering to medical research and clinical information technology support, and the development of advanced imaging, database, and decision systems.  Includes instruction in compu|11.0104 - Informatics., 26.1103 - Bioinformatics.|NULL|NULL|STEM
51|512799|Medical Illustration and Informatics, Other.|Any instructional program in medical illustration and informatics not listed above.|NULL|NULL|NULL|STEM
51|5131|Dietetics and Clinical Nutrition Services.|Instructional content for this group of programs is defined in codes 51.3101 - 51.3199.|NULL|NULL|NULL|STEM
51|513101|Dietetics/Dietitian.|A program that prepares individuals to integrate and apply the principles of the food and nutrition sciences, human behavior, and the biomedical sciences to design and manage effective nutrition programs in a variety of settings.  Includes instruction in |NULL|NULL|NULL|STEM
51|513102|Clinical Nutrition/Nutritionist.|A program that prepares individuals to apply the principles of dietetics and the biomedical and nutrition sciences to design and manage effective nutrition programs as part of clinical treatment and therapy programs, and to manage health care facility foo|19.0504 - Human Nutrition., 30.1901 - Nutrition Sciences.|Y|NULL|STEM
51|513103|Dietetic Technician.|A program that prepares individuals, under the supervision of registered dietitians and nutritionists, to implement nutritional and dietetic plans and provide direct client and patient services.  Includes instruction in human nutrition, client interviewin|NULL|NULL|NULL|STEM
51|513104|Dietitian Assistant.|A program that prepares individuals to assist registered dietitians in planning, preparing and serving meals to individuals with specific dietary needs.  Includes instruction in equipment use, food preparation, diet regulations, food handling, safety and |NULL|Y|NULL|STEM
51|513199|Dietetics and Clinical Nutrition Services, Other.|Any instructional program in dietetics and clinical nutrition services not listed above.|NULL|NULL|NULL|STEM
51|5132|Bioethics/Medical Ethics.|Instructional content is defined in code 51.3201.|NULL|NULL|NULL|STEM
51|513201|Bioethics/Medical Ethics.|A program that focuses on  the application of ethics, religion, jurisprudence, and the social sciences to the analysis of health care issues, clinical decisionmaking, and research procedures.  Includes instruction in philosophical ethics, moral value, med|38.0104 - Applied and Professional Ethics.|NULL|NULL|STEM
51|5133|Alternative and Complementary Medicine and Medical Systems.|Instructional content for this group of programs is defined in codes 51.3300 - 51.3399.|NULL|NULL|NULL|STEM
51|513300|Alternative and Complementary Medicine and Medical Systems, General.|A general program that focuses on the theories, science, and practice of alternative and complementary medicine and medical systems. Includes instruction in understanding acupuncture, herbal medicine, naturopathy, homeopathy, and other alternative and com|NULL|NULL|NULL|STEM
51|513301|Acupuncture and Oriental Medicine.|A program that prepares individuals for the independent professional practice of acupuncture, a Chinese system of health care and healing based on the use of pulse diagnosis, acupuncture point selection, and needle insertion, as well as herbs and other As|NULL|NULL|NULL|STEM
51|513302|Traditional Chinese Medicine and Chinese Herbology.|A program that prepares individuals for the independent professional practice of Chinese herbal medicine, a system based on the use of nutrition, natural products, and prescribed medical formulae to treat imbalances in the state of bodily health as define|NULL|NULL|NULL|STEM
51|513303|Naturopathic Medicine/Naturopathy.|A program that prepares individuals for the independent professional practice of naturopathic medicine, an holistic therapeutic approach combining medical knowledge with noninvasive natural, homeopathic, and non-Western therapies and emphasizing disease p|NULL|NULL|NULL|STEM
51|513304|Homeopathic Medicine/Homeopathy.|A program that prepares individuals for the independent professional practice of homeopathic medicine, an holistic therapeutic system using naturally occurring substances in highly diluted forms to mimic symptoms of illness and trigger autoimmune response|NULL|NULL|NULL|STEM
51|513305|Ayurvedic Medicine/Ayurveda.|A program that prepares individuals for the independent professional practice of Ayurveda, a holistic health care system based on the use of dietary, lifestyle, spiritual, pharmacological and physical therapies to remove imbalances and restore health as d|NULL|NULL|NULL|STEM
51|513306|Holistic Health.|A program that focuses on the interconnectedness of physical, psychological, social, spiritual, and environmental well-being, and that integrates aspects of Eastern and Western medicine to promote, maintain, and optimize wellness. Includes instruction in |NULL|NULL|NULL|STEM
51|513399|Alternative and Complementary Medicine and Medical Systems, Other.|Any instructional program in alternative and complementary medicine and medical systems not listed above.|NULL|NULL|NULL|STEM
51|5134|Alternative and Complementary Medical Support Services.|Instructional content for this group of programs is defined in codes 51.3401 - 51.3499.|NULL|NULL|NULL|STEM
51|513401|Direct Entry Midwifery.|A program that prepares individuals to provide pre-natal, natural birth, and immediate postpartum care to pregnant women in jurisdictions licensing direct (non-nursing) training for midwives.  Includes instruction in basic obstetrics, women's health, feta|NULL|NULL|NULL|STEM
51|513499|Alternative and Complementary Medical Support Services, Other.|Any instructional program in alternative and complementary medical support services not listed above.|NULL|NULL|NULL|STEM
51|5135|Somatic Bodywork and Related Therapeutic Services.|Instructional content for this group of programs is defined in codes 51.3501 - 51.3599.|NULL|NULL|NULL|STEM
51|513501|Massage Therapy/Therapeutic Massage.|A program that prepares individuals to provide relief and improved health and well-being to clients through the application of manual techniques for manipulating skin, muscles, and connective tissues.  Includes instruction in Western (Swedish) massage, sp|NULL|NULL|NULL|STEM
51|513502|Asian Bodywork Therapy.|A program that prepares individuals to provide relief and improved health and well-being based on Chinese medical principles through one or more of the traditional bodywork therapies of Asia.  Includes instruction in acupressure, AMMA(r) Therapy, Chi Nei |NULL|NULL|NULL|STEM
51|513503|Somatic Bodywork.|A program that prepares individuals to promote physical and emotional balance and well-being through the application of skilled touch principles and techniques.  Includes instruction in therapeutic massage and other hands-on touch methods, anatomy and phy|NULL|NULL|NULL|STEM
51|513599|Somatic Bodywork and Related Therapeutic Services, Other.|Any instructional program in somatic bodywork and related therapeutic services not listed above.|NULL|NULL|NULL|STEM
51|5136|Movement and Mind-Body Therapies and Education.|Instructional content for this group of programs is defined in codes 51.3601 - 51.3699.|NULL|NULL|NULL|STEM
51|513601|Movement Therapy and Movement Education.|A program that prepares individuals to use functional and expressive integration strategies to help promote somatic awareness and optimal psychophysical functioning.  Includes instruction in skilled touch techniques, kinesthetic awareness processes, movem|51.2302 - Dance Therapy/Therapist.|NULL|NULL|STEM
51|513602|Yoga Teacher Training/Yoga Therapy.|A program that prepares individuals to function as professional instructors in the spiritual and physical therapy of Yoga in private, institutional, and clinical settings.  Includes instruction in the principles of Ayurveda, philosophy of Yoga, warm-up an|NULL|NULL|NULL|STEM
51|513603|Hypnotherapy/Hypnotherapist.|A program that prepares individuals to employ the controlled inducement of altered states of consciousness, or trance, to reduce pain, resolve emotional conflicts, and enhance communications as part of diagnostic and treatment programs.  Includes instruct|NULL|NULL|NULL|STEM
51|513699|Movement and Mind-Body Therapies and Education, Other.|Any instructional program in movement and mind-body therapies not listed above.|NULL|NULL|NULL|STEM
51|5137|Energy and Biologically Based Therapies.|Instructional content for this group of programs is defined in codes 51.3701 - 51.3799.|NULL|NULL|NULL|STEM
51|513701|Aromatherapy.|A program that prepares individuals to provide therapeutic care through the preparation and application of extracted essential oils from plants, including flowers (botanicals), roots, berries, and bark.  Includes instruction in aromatherapy history and th|NULL|NULL|NULL|STEM
51|513702|Herbalism/Herbalist.|A program that prepares individuals to utilize the materia medica and clinical practices of Western, Native American, African, Australasian, and other herbal medicine traditions to prevent and cure illness and temporary physical disorders.  Includes instr|NULL|NULL|NULL|STEM
51|513703|Polarity Therapy.|A program that prepares individuals to promote health and well-being through application of the integrative therapeutic system based on the Human Energy Field theory developed by Randolph Stone.  Includes instruction in polarity theory and principles, ene|NULL|NULL|NULL|STEM
51|513704|Reiki.|A program that prepares individuals to promote physical, emotional, and spiritual balance and healing through the manipulation of the body's energy field to increase healing energy.  Includes instruction in the history and philosophy of Usui Reiki, attune|NULL|NULL|NULL|STEM
51|513799|Energy and Biologically Based Therapies, Other.|Any instructional program in alternative, complementary, and somatic health and therapeutic services not listed above (bioenergetics, cranio-sacral therapy, Therapeutic Touch, Qi Gong, and others).|NULL|NULL|NULL|STEM
51|5138|Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.|Instructional content for this group of programs is defined in codes 51.3801 - 51.3899.|NULL|NULL|NULL|STEM
51|513801|Registered Nursing/Registered Nurse.|A program that generally prepares individuals in the knowledge, techniques and procedures for promoting health, providing care for sick, disabled, infirmed, or other individuals or groups.  Includes instruction in the administration of medication and trea|NULL|Y|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|STEM
51|513802|Nursing Administration.|A program that prepares registered nurses to manage Nursing personnel and services in hospitals and other health care delivery agencies.  Includes instruction in principles of health care administration, resource and financial management, health care law |NULL|NULL|NULL|STEM
51|513803|Adult Health Nurse/Nursing.|A program that prepares registered nurses to provide general care for adult patients.  Includes instruction in adult primary care, adult pathophysiology, clinical management of medication and treatments, patient assessment and education, patient referral,|NULL|NULL|NULL|STEM
51|513804|Nurse Anesthetist.|A program that prepares registered nurses to administer anesthetics and provide care for patients before, during and after anesthesia.  Includes instruction in the biochemistry and physics of anesthesia; advanced anatomy and physiology; clinical pharmacol|NULL|NULL|NULL|STEM
51|513805|Family Practice Nurse/Nursing.|A program that prepares registered nurses to provide independent general care for family groups and individuals in the context of family living.  Includes instruction in family theory and intervention, role synthesis, family primary care, nursing practice|NULL|NULL|NULL|STEM
51|513806|Maternal/Child Health and Neonatal Nurse/Nursing.|A program that prepares registered nurses to provide prenatal care to pregnant women and to mothers and their newborn infants.  Includes instruction in perinatal and newborn health assessment, stabilization, and care; pathophysiology of pregnancy, fetuses|NULL|NULL|NULL|STEM
51|513807|Nurse Midwife/Nursing Midwifery.|A program that prepares registered nurses to independently deliver babies and treat mothers in the prenatal, delivery, and post-delivery periods.  Includes instruction in pre-delivery screening, physician referral, and the care of infants during the deliv|NULL|NULL|NULL|STEM
51|513808|Nursing Science.|A research program that focuses on the study of advanced clinical practices, research methodologies, the administration of complex nursing services, and that prepares nurses to further the progress of nursing research through experimentation and clinical |NULL|NULL|NULL|STEM
51|513809|Pediatric Nurse/Nursing.|A program that prepares registered nurses to provide care for children from infancy through adolescence.  Includes instruction in the administration of medication and treatments, assisting physicians, patient examination and referral, and planning and del|NULL|NULL|NULL|STEM
51|513810|Psychiatric/Mental Health Nurse/Nursing.|A program that prepares registered nurses to promote mental health and provide nursing care to patients with mental, emotional or behavioral disorders, in mental institutions or other settings.  Includes instruction in psychopathology, behavioral health, |NULL|NULL|NULL|STEM
51|513811|Public Health/Community Nurse/Nursing.|A program that prepares registered nurses to promote health and provide preventive and curative nursing services for groups or communities under the supervision of a public health agency.  Includes instruction in community and rural health, family therapy|NULL|NULL|NULL|STEM
51|513812|Perioperative/Operating Room and Surgical Nurse/Nursing.|A program that prepares registered nurses to provide care to patients before and during surgery, and provide tableside assistance to surgeons. Includes instruction in operating room safety and preparation, aseptic technique, anesthesia, patient preparatio|NULL|NULL|NULL|STEM
51|513813|Clinical Nurse Specialist.|A program that prepares registered nurses to deliver direct patient and client care in clinical settings.  Includes instruction in clinical pharmacotherapeutics, advanced clinical practice, holistic nursing, nursing practice and health care policy, admini|NULL|NULL|NULL|STEM
51|513814|Critical Care Nursing.|A program that prepares registered nurses to provide specialized care to patients with life-threatening problems, including those in intensive care facilities and on life support.  Includes instruction in adult, neonatal, and pediatric critical care; tech|NULL|NULL|NULL|STEM
51|513815|Occupational and Environmental Health Nursing.|A program that prepares registered nurses to deliver nursing health care services to workers and worker populations in clinical settings and at job sites.  Includes instruction in public and community health, occupational safety and health, occupational h|NULL|NULL|NULL|STEM
51|513816|Emergency Room/Trauma Nursing.|A program that prepares registered nurses to deliver advanced, direct patient care in emergency and trauma settings. Includes instruction in advanced health assessment, pharmacology, physiology, emergency management, trauma conditions, trauma assessments |NULL|NULL|NULL|STEM
51|513817|Nursing Education.|A program that prepares registered nurses to teach in academic and clinical settings, including staff development. Includes instruction in advanced nursing practice, nursing role development, curriculum and instruction, program and course design, clinical|NULL|NULL|NULL|STEM
51|513818|Nursing Practice.|A practice-focused program that prepares registered nurses for increasingly complex evidence-based nursing practice, including translating research into practice, evaluating evidence, applying research in decision-making, and implementing viable clinical |NULL|NULL|NULL|STEM
51|513819|Palliative Care Nursing.|A program that prepares registered nurses to provide a combination of active and compassionate therapies intended to comfort and support patients and their families who are living with life-threatening illness. Includes instruction in pathophysiology, pal|NULL|NULL|NULL|STEM
51|513820|Clinical Nurse Leader.|A program that prepares registered nurses for careers as clinical nurse leaders in which they work as part of an interdisciplinary team that provides direct medical care for patients based on evidence-based practice and research. Includes instruction in p|NULL|NULL|NULL|STEM
51|513821|Geriatric Nurse/Nursing.|A program that prepares registered nurses to provide health care to aging and elderly patients. Includes instruction in geriatric primary care, geriatric diagnosis, mental health and aging, primary care management, geriatric acute and chronic illness, adv|NULL|NULL|NULL|STEM
51|513822|Women's Health Nurse/Nursing.|A program that prepares registered nurses to provide health care specific to women. Includes instruction in the wellness and care of women, gynecology, obstetrics, advanced nursing practices for women, evidence-based nursing practice, advanced physiology |NULL|NULL|NULL|STEM
51|513899|Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing, Other.|Any instructional program in registered nursing, nursing administration, nursing research, and clinical nursing not listed above.|NULL|NULL|NULL|STEM
51|5139|Practical Nursing, Vocational Nursing and Nursing Assistants.|Instructional content for this group of programs is defined in codes 51.3901 - 51.3999.|NULL|NULL|NULL|STEM
51|513901|Licensed Practical/Vocational Nurse Training.|A program that prepares individuals to assist in providing general nursing care under the direction of a registered nurse, physician or dentist.  Includes instruction in taking patient vital signs, applying sterile dressings, patient health education, and|NULL|Y|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|STEM
51|513902|Nursing Assistant/Aide and Patient Care Assistant/Aide.|A program that prepares individuals to perform routine nursing-related services to patients in hospitals or long-term care facilities, under the training and supervision of a registered nurse or licensed practical nurse.|NULL|Y|HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES|STEM
51|513999|Practical Nursing, Vocational Nursing and Nursing Assistants, Other.|Any instructional program in practical nursing, vocational nursing, and nursing assistants not listed above.|NULL|NULL|NULL|STEM
51|5199|Health Professions and Related Clinical Sciences, Other.|Instructional content is defined in code 51.9999.|NULL|NULL|NULL|STEM
51|519999|Health Professions and Related Clinical Sciences, Other.|Any instructional program in the health professions and related clinical sciences not listed above.|NULL|NULL|NULL|STEM
52|52|BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.|Instructional programs that prepare individuals to perform managerial, technical support, and applied research functions related to the operation of commercial and non-profit enterprises and the buying and selling of goods and services.|NULL|NULL|NULL|Business
52|5201|Business/Commerce, General.|Instructional content is defined in code 52.0101.|NULL|NULL|NULL|Business
52|520101|Business/Commerce, General.|A program that focuses on the general study of business, including the processes of interchanging goods and services (buying, selling and producing), business organization, and accounting as used in profit-making and nonprofit public and private instituti|NULL|Y|BUSINESS MANAGEMENT AND ADMINISTRATIVE SERVICES|Business
52|5202|Business Administration, Management and Operations.|Instructional content for this group of programs is defined in codes 52.0201 - 52.0299.|NULL|NULL|NULL|Business
52|520201|Business Administration and Management, General.|A program that generally prepares individuals to plan, organize, direct, and control the functions and processes of a firm or organization.  Includes instruction in management theory, human resources management and behavior, accounting and other quantitat|NULL|Y|BUSINESS MANAGEMENT AND ADMINISTRATIVE SERVICES|Business
52|520202|Purchasing, Procurement/Acquisitions and Contracts Management.|A program that prepares individuals to manage and/or administer the processes by which a firm or organization contracts for goods and services to support its operations, as well as contracts it to sell to other firms or organizations.  Includes instructio|NULL|NULL|NULL|Business
52|520203|Logistics, Materials, and Supply Chain Management.|A program that prepares individuals to manage and coordinate all logistical functions in an enterprise, ranging from acquisitions to receiving and handling, through internal allocation of resources to operations units, to the handling and delivery of outp|NULL|Y|NULL|Business
52|520204|Office Management and Supervision.|A program that prepares individuals to supervise and manage the operations and personnel of business offices and management-level divisions.  Includes instruction in employee supervision, management, and labor relations; budgeting; scheduling and coordina|51.0705 - Medical Office Management/Administration.|Y|BUSINESS MANAGEMENT AND ADMINISTRATIVE SERVICES|Business
52|520205|Operations Management and Supervision.|A program that prepares individuals to manage and direct the physical and/or technical functions of a firm or organization, particularly those relating to development, production, and manufacturing.  Includes instruction in principles of general managemen|NULL|NULL|NULL|Business
52|520206|Non-Profit/Public/Organizational Management.|A program that prepares individuals to manage the business affairs of non-profit corporations, including foundations, educational institutions, associations, and other such organizations, and public agencies and governmental operations.  Includes instruct|NULL|NULL|NULL|Business
52|520207|Customer Service Management.|A program that prepares individuals to supervise and monitor customer service performance and manage frontline customer support services, call centers/help desks, and customer relations.  Includes instruction in customer behavior, specialized information |NULL|NULL|NULL|Business
52|520208|E-Commerce/Electronic Commerce.|A program that prepares individuals to plan, manage, supervise, and market electronic business operations, products, and services provided online via the Internet.  Includes instruction in business administration, information technology, information resou|NULL|Y|NULL|Business
52|520209|Transportation/Mobility Management.|A program that prepares individuals to plan, administer, and coordinate physical transportation operations, networks, and systems.  Includes instruction in transportation systems and technologies; traffic logistics and engineering; multi- and intermodal t|NULL|NULL|NULL|Business
52|520210|Research and Development Management.|A program that prepares individuals to manage projects, programs and organizations involving basic and applied research, or specialized technology applications, in the public or private sectors.  Includes instruction in all aspects of business management |NULL|NULL|NULL|Business
52|520211|Project Management.|A program that prepares individuals to apply quantitative and qualitative knowledge, skills, tools, and techniques to manage projects in a wide range of fields and occupations.  Includes instruction in project planning, risk management, cost and time mana|11.1005 - Information Technology Project Management.|NULL|NULL|Business
52|520212|Retail Management.|A program that prepares individuals to manage the operations of a wide variety of retail businesses, including department stores; independent and chain stores; fashion, food and beverage, and pharmaceutical establishments; and online retail businesses. In|NULL|NULL|NULL|Business
52|520213|Organizational Leadership.|A program that focuses on leadership skills that can be applied to a business, government, non-profit, or educational setting. Includes instruction in organizational planning, dynamics of leadership, finance, team building, conflict resolution and mediati|NULL|NULL|NULL|Business
52|520299|Business Administration, Management and Operations, Other.|Any instructional program in business and administration not listed above.|51.0701 - Health/Health Care Administration/Management., 51.0702 - Hospital and Health Care Facilities Administration/Management.|Y|BUSINESS MANAGEMENT AND ADMINISTRATIVE SERVICES|Business
52|5203|Accounting and Related Services.|Instructional content for this group of programs is defined in codes 52.0301 - 52.0399.|NULL|NULL|NULL|Business
52|520301|Accounting.|A program that prepares individuals to practice the profession of accounting and to perform related business functions.  Includes instruction in accounting principles and theory, financial accounting, managerial accounting, cost accounting, budget control|NULL|Y|BUSINESS MANAGEMENT AND ADMINISTRATIVE SERVICES|Business
52|520302|Accounting Technology/Technician and Bookkeeping.|A program that prepares individuals to provide technical administrative support to professional accountants and other financial management personnel.  Includes instruction in posting transactions to accounts, record-keeping systems, accounting software op|NULL|Y|BUSINESS MANAGEMENT AND ADMINISTRATIVE SERVICES|Business
52|520303|Auditing.|A program that prepares individuals, including certified accountants, to perform independent internal and external appraisals to evaluate organizational financial and operational activities, ensure compliance with laws and policies, safeguard assets, and |NULL|NULL|NULL|Business
52|520304|Accounting and Finance.|An integrated or combined program in accounting and finance that prepares individuals to function as accountants and financial managers or analysts.|52.0301 - Accounting., 52.0801 - Finance, General.|NULL|NULL|Business
52|520305|Accounting and Business/Management.|An integrated or combined program in accounting and business administration/management that prepares individuals to function as accountants and business managers.|52.0201 - Business Administration and Management, General., 52.0301 - Accounting.|NULL|NULL|Business
52|520399|Accounting and Related Services, Other.|Any instructional program in accounting not listed above.|NULL|NULL|NULL|Business
52|5204|Business Operations Support and Assistant Services.|Instructional content for this group of programs is defined in codes 52.0401 - 52.0499.|NULL|NULL|NULL|Business
52|520401|Administrative Assistant and Secretarial Science, General.|A program that generally prepares individuals to perform the duties of administrative assistants and/or secretaries and stenographers.  Includes instruction in business communications, principles of business law, word processing and data entry, office mac|22.0301 - Legal Administrative Assistant/Secretary., 51.0716 - Medical Administrative/Executive Assistant and Medical Secretary.|Y|BUSINESS MANAGEMENT AND ADMINISTRATIVE SERVICES|Business
52|520402|Executive Assistant/Executive Secretary.|A program that prepares individuals to perform the duties of special assistants and/or personal secretaries for business executives and top management.  Includes instruction in business communications, principles of business law, public relations, schedul|51.0716 - Medical Administrative/Executive Assistant and Medical Secretary.|Y|BUSINESS MANAGEMENT AND ADMINISTRATIVE SERVICES|Business
52|520406|Receptionist.|A program that prepares individuals to perform frontline public relations duties for a business, organization, or answering service.  Includes instruction in telephone answering techniques, responding to information requests, keeping caller and/or visitor|51.0712 - Medical Reception/Receptionist.|Y|BUSINESS MANAGEMENT AND ADMINISTRATIVE SERVICES|Business
52|520407|Business/Office Automation/Technology/Data Entry.|A program that prepares individuals to support business information operations by using computer equipment to enter, process, and retrieve data for a wide variety of administrative purposes.  Includes instruction in using basic business software and hardw|NULL|Y|BUSINESS MANAGEMENT AND ADMINISTRATIVE SERVICES|Business
52|520408|General Office Occupations and Clerical Services.|A program that prepares individuals to provide basic administrative support under the supervision of office managers, administrative assistants, secretaries, and other office personnel.  Includes instruction in typing, keyboarding, filing, general busines|NULL|Y|BUSINESS MANAGEMENT AND ADMINISTRATIVE SERVICES|Business
52|520409|Parts, Warehousing, and Inventory Management Operations.|A program that prepares individuals to provide administrative, technical, and managerial support in the operation of warehouses, control of inventory, parts identification, and the performance of counter services for customers.  Includes instruction in re|NULL|NULL|NULL|Business
52|520410|Traffic, Customs, and Transportation Clerk/Technician.|A program that prepares individuals to perform duties associated with managing revenue-based customs, traffic, or transportation services, such as control of domestic and international traffic, toll roads and waterways, and to assist in the dispatch and c|NULL|NULL|NULL|Business
52|520411|Customer Service Support/Call Center/Teleservice Operation.|A program that prepares individuals to assist customers with inquiries and problems in frontline call centers, help desks, teleservice centers, and online.  Includes instruction in user interfaces and user behavior, principles of hardware and software sys|NULL|NULL|NULL|Business
52|520499|Business Operations Support and Secretarial Services, Other.|Any instructional program in administrative and secretarial services not listed above.|NULL|NULL|NULL|Business
52|5205|Business/Corporate Communications.|Instructional content is defined in code 52.0501.|NULL|NULL|NULL|Business
52|520501|Business/Corporate Communications.|A program that prepares individuals to function in an organization as a composer, editor and proofreader of business or business-related communications.|NULL|Y|BUSINESS MANAGEMENT AND ADMINISTRATION SERVICES|Business
52|5206|Business/Managerial Economics.|Instructional content is defined in code 52.0601.|NULL|NULL|NULL|Business
52|520601|Business/Managerial Economics.|A program that focuses on the application of economics principles to the analysis of the organization and operation of business enterprises.  Includes instruction in monetary theory, banking and financial systems, theory of competition, pricing theory, wa|NULL|NULL|NULL|Business
52|5207|Entrepreneurial and Small Business Operations.|Instructional content for this group of programs is defined in codes 52.0701 - 52.0799.|NULL|NULL|NULL|Business
52|520701|Entrepreneurship/Entrepreneurial Studies.|A program that generally prepares individuals to perform development, marketing and management functions associated with owning and operating a business.|NULL|Y|BUSINESS MANAGEMENT AND ADMINISTRATIVE SERVICES|Business
